时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,近90天内购买所选种子的竞品品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A++】TB80V80WDCLG_小天鹅洗衣机_单投,搜索无线,60500,4802,7.94%,13783.84,227.83,2.87,928,1973110.00,19.33%,143.15,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,60336,5902,9.78%,20222.82,335.17,3.43,837,2020285.00,14.18%,99.90,
20190604~20190626,九数_618_滚筒_类目内_高分段_无品牌倾向_0608,外部导入人群,无线,京东直投,,,59846,103,0.17%,242.87,4.06,2.36,3,4197.00,2.91%,17.28,
20190604~20190626,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,58997,7197,12.20%,17375.18,294.51,2.41,2773,7763642.00,38.53%,446.82,
20190604~20190626,搜索-洗衣机搜索人群,标签人群,PC,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,TG80V20DG5搜索PC,56946,919,1.61%,1933.69,33.96,2.10,153,380275.00,16.65%,196.66,
20190604~20190626,核心人群（美的+小天鹅）,标签人群,无线,京东直投,,,56782,429,0.76%,235.79,4.15,0.55,4,12399.00,0.93%,52.58,
20190604~20190626,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东直投,,,55480,403,0.73%,149.49,2.69,0.37,-,-,-,-,
20190604~20190626,自定义-海尔10KG滚筒-不拓展,标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,55149,8414,15.26%,30880.50,559.95,3.67,1226,2900153.00,14.57%,93.92,
20190604~20190626,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,53477,5715,10.69%,23020.31,430.47,4.03,684,2227551.00,11.97%,96.76,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,53004,6615,12.48%,15989.42,301.66,2.42,2661,7559083.00,40.23%,472.76,
20190604~20190626,洗衣机意向人群（三洋LG统帅博世创维）,标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,51545,5957,11.56%,21739.65,421.76,3.65,927,2341170.00,15.56%,107.69,
20190604~20190626,自定义-海尔10KG滚筒-不拓展,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,50881,6904,13.57%,27174.36,534.08,3.94,1049,3110778.40,15.19%,114.47,
20190604~20190626,空调核心人群（格力美的海尔奥克斯TCL）,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,48979,4390,8.96%,17637.67,360.11,4.02,539,1717318.00,12.28%,97.37,
20190604~20190626,九数_20190611_洗衣机_618跨品_对照组,外部导入人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-品牌人群,48660,76,0.16%,2679.53,55.07,35.26,1,1649.00,1.32%,0.62,
20190604~20190626,九数_20190611_洗衣机_618跨品_干预组,外部导入人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-品牌人群,48276,79,0.16%,2659.23,55.08,33.66,-,-,-,-,
20190604~20190626,自定义-小天鹅-银离子系列,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,48020,7426,15.46%,27047.17,563.25,3.64,922,3207455.00,12.42%,118.59,
20190604~20190626,自定义-冰箱400-500L浏览加购未购人群30,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,47947,6501,13.56%,24985.97,521.12,3.84,1057,3173942.25,16.26%,127.03,
20190604~20190626,【新】近30天浏览加购热水器未购洗衣机,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-跨品类核心人群,47803,119,0.25%,2452.55,51.31,20.61,15,33673.00,12.61%,13.73,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A++++】TG100V20WDG_小天鹅洗衣机_单投,搜索-无线,45878,6935,15.12%,21747.77,474.03,3.14,2064,5191254.42,29.76%,238.70,
