时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】为浏览过三级类目电饭煲-,新标签人群,无线,京东直投,,,1277521,52356,4.10%,8396.42,6.57,0.16,35,6432.50,0.07%,0.77,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,531488,16665,3.14%,4865.98,9.16,0.29,44,15359.30,0.26%,3.16,
20190604~20190626,【新】未浏览-磁炉,新标签人群,无线,京东直投,,,504167,17603,3.49%,2933.19,5.82,0.17,6,1473.90,0.03%,0.50,
20190604~20190626,【新】未浏览-磁炉,新标签人群,无线,京东直投,,,431493,21603,5.01%,3014.26,6.99,0.14,19,4761.00,0.09%,1.58,
20190604~20190626,【新】近7天搜索厨房小电-品聚专用,新标签人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,275692,8511,3.09%,7282.13,26.41,0.86,1124,282622.58,13.21%,38.81,
20190604~20190626,【新】为浏览三级类目多用途锅,新标签人群,无线,京东直投,,,268973,9084,3.38%,1472.90,5.48,0.16,2,194.00,0.02%,0.13,
20190604~20190626,【新】近7天浏览厨房小电-品聚专用,新标签人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,216251,7457,3.45%,6364.66,29.43,0.85,1016,263104.82,13.62%,41.34,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,189030,6555,3.47%,5274.77,27.90,0.80,868,231374.32,13.24%,43.86,
20190604~20190626,自定义-电饭煲兴趣人群,标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,182918,14165,7.74%,32681.81,178.67,2.31,4919,4517748.96,34.73%,138.23,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,182294,14113,7.74%,32579.78,178.72,2.31,4929,4521403.86,34.93%,138.78,
