时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,1346,152,11.29%,665.33,494.30,4.38,10,30790.00,6.58%,46.28,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,1333,137,10.28%,550.12,412.69,4.02,4,11996.00,2.92%,21.81,
20190604~20190626,【新】洗碗机搜索偏好,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1317,58,4.40%,276.95,210.29,4.78,2,4498.00,3.45%,16.24,
20190604~20190626,【新】浏览洗碗机未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1283,66,5.14%,408.41,318.32,6.19,2,4498.00,3.03%,11.01,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,1213,51,4.20%,201.45,166.08,3.95,3,8897.00,5.88%,44.16,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,1143,136,11.90%,857.69,750.38,6.31,7,13793.00,5.15%,16.08,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,1069,39,3.65%,83.28,77.90,2.14,1,999.00,2.56%,12.00,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,986,122,12.37%,654.77,664.07,5.37,25,65075.00,20.49%,99.39,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,979,6,0.61%,14.86,15.18,2.48,-,-,-,-,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,889,69,7.76%,503.45,566.31,7.30,8,11792.00,11.59%,23.42,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,873,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,839,116,13.83%,426.07,507.83,3.67,-,-,-,-,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,835,19,2.28%,79.34,95.02,4.18,1,2899.00,5.26%,36.54,
20190604~20190626,【新】搜索/促销敏感未购买-洗碗机,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,814,41,5.04%,196.66,241.60,4.80,2,4498.00,4.88%,22.87,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,769,3,0.39%,15.26,19.84,5.09,1,1399.00,33.33%,91.68,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,712,91,12.78%,479.82,673.90,5.27,19,45281.00,20.88%,94.37,
20190604~20190626,【新】浏览洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,712,33,4.63%,207.60,291.57,6.29,2,4498.00,6.06%,21.67,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,709,28,3.95%,121.23,170.99,4.33,6,16694.00,21.43%,137.71,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,684,24,3.51%,50.35,73.61,2.10,-,-,-,-,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,644,5,0.78%,18.43,28.62,3.69,-,-,-,-,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,638,78,12.23%,403.49,632.43,5.17,11,31789.00,14.10%,78.79,
20190604~20190626,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,606,52,8.58%,196.51,324.27,3.78,9,23921.00,17.31%,121.73,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,537,37,6.89%,264.00,491.62,7.14,2,2798.00,5.41%,10.60,
20190604~20190626,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,534,1,0.19%,2.05,3.84,2.05,-,-,-,-,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,532,10,1.88%,47.12,88.57,4.71,2,6198.00,20.00%,131.54,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,529,1,0.19%,9.86,18.64,9.86,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,475,16,3.37%,73.18,154.06,4.57,3,7397.00,18.75%,101.08,
20190604~20190626,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,452,51,11.28%,209.97,464.54,4.12,-,-,-,-,
20190604~20190626,618大促类目购买意向人群【洗碗机】,标签人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,446,14,3.14%,8.29,18.59,0.59,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,431,5,1.16%,18.43,42.76,3.69,-,-,-,-,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,412,38,9.22%,219.97,533.91,5.79,4,7296.00,10.53%,33.17,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,392,52,13.27%,192.29,490.54,3.70,4,12496.00,7.69%,64.99,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,389,39,10.03%,148.91,382.80,3.82,5,12494.00,12.82%,83.90,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,360,9,2.50%,47.16,131.00,5.24,2,6198.00,22.22%,131.42,
20190604~20190626,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,351,15,4.27%,56.27,160.31,3.75,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,342,2,0.58%,17.76,51.93,8.88,-,-,-,-,
