时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,九数_618_燃热_类目内_高分段_3k以上_0610,外部导入人群,PC,京东快车(搜索),燃热-JSQ30-GTS_燃气热水器_单投,搜索-APP,25,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190617_燃热_618跨品_干预组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,24,5,20.83%,5.27,219.58,1.05,-,-,-,-,
20190604~20190626,燃热-价位段-1699-2199竞品浏览,新标签人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,24,5,20.83%,4.54,189.17,0.91,-,-,-,-,
20190604~20190626,【新】母婴人群-怀孕~宝宝12月,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-长尾核心,24,-,-,-,-,-,-,-,-,-,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),燃热-JSQ30-HT5_燃气热水器_单投,搜索-APP,23,2,8.70%,0.29,12.61,0.14,-,-,-,-,
20190604~20190626,净水-加购2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),净水器-QZ-7_净水器_单投qq,搜索-APP,23,3,13.04%,47.86,2080.87,15.95,-,-,-,-,
20190604~20190626,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),净水器-(X400S)MRC1686A-400_净水器_单投,搜索-(X400S)-电脑,23,5,21.74%,0.54,23.48,0.11,-,-,-,-,
20190604~20190626,净水-加购2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),净水器-QZ-16_净水器_单投qq,搜索-QZBW20S-16,22,2,9.09%,35.19,1599.55,17.60,-,-,-,-,
20190604~20190626,九数_20190619_电热_618跨品_干预组,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,22,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_618_电热_类目内_高分段_2.5k_3k_0605,外部导入人群,无线,京东直投,,,21,1,4.76%,0.61,29.05,0.61,-,-,-,-,
20190604~20190626,九数618_燃热_类目_高分_1.5k_2k_0619,外部导入人群,PC,京东快车(搜索),燃热-JSQ30-G6_燃气热水器_单投,搜索-JSQ30-G6-APP,20,2,10.00%,0.22,11.00,0.11,-,-,-,-,
20190604~20190626,净水-加购2500-4500竞品价位段,新标签人群,PC,京东快车(搜索),净水器-QZ-16_净水器_单投qq,搜索-QZBW20S-16-5电脑,18,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数618_净水_类目_高分_1.5k_2k_0616,外部导入人群,PC,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,17,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190608_燃热_618跨品_干预组_,外部导入人群,无线,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,17,1,5.88%,3.86,227.06,3.86,-,-,-,-,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),燃热-JSQ30-GTS_燃气热水器_单投,搜索-APP,17,1,5.88%,2.96,174.12,2.96,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_美的品牌倾向_0615,外部导入人群,无线,京东直投,,,17,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】饮水-加购-1600-3000元竞品sku,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-区域,16,1,6.25%,0.28,17.50,0.28,-,-,-,-,
20190604~20190626,九数_20190610_燃热_618跨品_干预组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,16,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-电脑,16,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】【J400】搜索小米,新标签人群,无线,京东直投,,,15,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190610_燃热_618跨品_对照组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,15,1,6.67%,5.21,347.33,5.21,-,-,-,-,
20190604~20190626,九数_618_燃热_类目内_高分段_2.5k_3k_0610,外部导入人群,PC,京东快车(搜索),电热-F6030-A9_电热水器_单投,搜索-F6030-A9-APP,15,-,-,-,-,-,-,-,-,-,
20190604~20190626,燃热-价位段-1699-2199竞品浏览,新标签人群,PC,京东快车(搜索),燃热-JSQ30-G6_燃气热水器_单投,搜索-JSQ30-G6-APP,15,2,13.33%,0.22,14.67,0.11,-,-,-,-,
20190604~20190626,九数_20190615_燃热_618跨品_干预组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,15,-,-,-,-,-,-,-,-,-,
20190604~20190626,净水-加购2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),前置-Q5_净水器_单投,搜索-QZBW20S-5,14,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】饮水-搜索-净饮,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-(JT100)-APP,14,1,7.14%,0.23,16.43,0.23,-,-,-,-,
