时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0无线,38998,3326,8.53%,11199.95,287.19,3.37,319,299362.68,9.59%,26.73
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,38824,2956,7.61%,14236.89,366.7,4.82,247,248336.7,8.36%,17.44
20190604~20190626,【新】家装未浏览烟灶消,新标签人群,无线,京东直投,,,38650,509,1.32%,413.17,10.69,0.81,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,38598,2949,7.64%,17057.04,441.92,5.78,195,223181,6.61%,13.08
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,38587,169,0.44%,760.31,19.7,4.5,2,2248,1.18%,2.96
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,38457,117,0.30%,551.52,14.34,4.71,23,30582,19.66%,55.45
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0PC,38298,323,0.84%,1333.4,34.82,4.13,24,24646,7.43%,18.48
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,38119,191,0.50%,802.63,21.06,4.2,10,13410,5.24%,16.71
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,37752,125,0.33%,567.69,15.04,4.54,23,23186,18.40%,40.84
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,37568,3672,9.77%,12513.32,333.08,3.41,210,151075,5.72%,12.07
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,37566,1767,4.70%,9946.3,264.77,5.63,91,101706,5.15%,10.23
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,37196,525,1.41%,1971.72,53.01,3.76,29,38551,5.52%,19.55
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,37195,2065,5.55%,11389.01,306.2,5.52,130,137765.5,6.30%,12.1
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0PC,37116,643,1.73%,1736.53,46.79,2.7,93,59087.5,14.46%,34.03
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,36864,404,1.10%,1725.58,46.81,4.27,18,24889,4.46%,14.42
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0无线,36704,1548,4.22%,5961.02,162.41,3.85,82,64194,5.30%,10.77
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0无线,36635,3266,8.91%,12440.17,339.57,3.81,245,274469,7.50%,22.06
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,36516,3595,9.85%,15224.11,416.92,4.23,305,232887.1,8.48%,15.3
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东直投,,,36124,114,0.32%,355.16,9.83,3.12,1,449,0.88%,1.26
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,36025,2090,5.80%,11940.97,331.46,5.71,135,145185,6.46%,12.16
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),80K03_消毒柜_单投,搜索0PC,35677,118,0.33%,424.95,11.91,3.6,18,9682,15.25%,22.78
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,35646,2443,6.85%,13346.55,374.42,5.46,171,174464,7.00%,13.07
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,35443,1229,3.47%,5759.4,162.5,4.69,78,72993.5,6.35%,12.67
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,35422,892,2.52%,4290.51,121.13,4.81,66,53969,7.40%,12.58
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,34894,2564,7.35%,11115.28,318.54,4.34,372,376986.1,14.51%,33.92
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,34534,2602,7.53%,11769.19,340.8,4.52,167,138890,6.42%,11.8
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,34520,378,1.10%,1915.66,55.49,5.07,44,36420,11.64%,19.01
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索0核心0无线,34200,2486,7.27%,13487.69,394.38,5.43,191,221314.2,7.68%,16.41
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0PC,33103,518,1.56%,1443.87,43.62,2.79,74,47882,14.29%,33.16
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0无线,32963,2047,6.21%,13474.36,408.77,6.58,113,126538.62,5.52%,9.39
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,32895,2333,7.09%,12735.49,387.16,5.46,166,168018,7.12%,13.19
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索0核心0无线,32634,2200,6.74%,12235.77,374.94,5.56,156,175963.5,7.09%,14.38
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0PC,32598,298,0.91%,1230.18,37.74,4.13,23,23747,7.72%,19.3
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,32497,193,0.59%,842.91,25.94,4.37,13,26692,6.74%,31.67
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,31969,1600,5.00%,7167.51,224.2,4.48,134,103112,8.38%,14.39
20190604~20190626,【新】爆品浏览未购买0烟灶套装,新标签人群,无线,京东直投,,,31774,390,1.23%,305.95,9.63,0.78,9,7394,2.31%,24.17
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0无线,31651,1572,4.97%,6018.43,190.15,3.83,90,69105,5.73%,11.48
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0无线,31552,3701,11.73%,12059.72,382.22,3.26,481,453941.66,13.00%,37.64
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0无线,31011,1962,6.33%,12944.95,417.43,6.6,113,127657.62,5.76%,9.86
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,30558,2005,6.56%,9167.77,300.01,4.57,337,337153.1,16.81%,36.78
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,30464,302,0.99%,1218.35,39.99,4.03,39,39833.82,12.91%,32.69
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,30336,127,0.42%,597.81,19.71,4.71,29,33381,22.83%,55.84
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,30272,565,1.87%,2055.3,67.89,3.64,37,44347,6.55%,21.58
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,30206,2766,9.16%,11896.54,393.85,4.3,196,155494.1,7.09%,13.07
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,29898,1828,6.11%,9834.23,328.93,5.38,120,128970.5,6.56%,13.11
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,PC,京东快车(搜索),80K03_消毒柜_单投,搜索0PC,29641,106,0.36%,380.03,12.82,3.59,16,8684,15.09%,22.85
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,29560,2345,7.93%,10829.65,366.36,4.62,411,354594.36,17.53%,32.74
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,29108,2052,7.05%,10100.69,347.01,4.92,135,142453.5,6.58%,14.1
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,29099,3241,11.14%,13271.34,456.08,4.09,285,233921.9,8.79%,17.63
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东直投,,,28462,444,1.56%,359.37,12.63,0.81,25,23416,5.63%,65.16
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,28038,1549,5.52%,8675.6,309.42,5.6,88,90496.5,5.68%,10.43
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0无线,27966,1435,5.13%,5481.7,196.01,3.82,83,63482,5.78%,11.58
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,27815,1151,4.14%,5517.39,198.36,4.79,102,68071.08,8.86%,12.34
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,27813,179,0.64%,769.05,27.65,4.3,8,9932,4.47%,12.91
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,27654,2601,9.41%,7417.26,268.22,2.85,256,223238,9.84%,30.1
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0无线,27516,2268,8.24%,8880.47,322.74,3.92,148,169661,6.53%,19.1
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,27362,6149,22.47%,17823.88,651.41,2.9,640,357118.47,10.41%,20.04
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,27180,235,0.86%,947.83,34.87,4.03,6,6599.67,2.55%,6.96
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,27143,2066,7.61%,12312.01,453.6,5.96,132,164288,6.39%,13.34
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,26847,253,0.94%,997.03,37.14,3.94,10,12175.67,3.95%,12.21
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,26311,536,2.04%,1949.05,74.08,3.64,37,44347,6.90%,22.75
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,26259,2008,7.65%,10760.05,409.77,5.36,154,153139,7.67%,14.23
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,26135,116,0.44%,552.78,21.15,4.77,29,33381,25.00%,60.39
20190604~20190626,【新】浏览店铺产品未购买燃气灶,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,26062,1123,4.31%,5369.28,206.02,4.78,112,76515,9.97%,14.25
20190604~20190626,【新】消毒柜嵌入式入口Top单品浏览未购,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0无线,25887,4162,16.08%,13724.74,530.18,3.3,517,499645.66,12.42%,36.4
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0无线,25760,2607,10.12%,9658.54,374.94,3.7,216,244465,8.29%,25.31
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,25493,415,1.63%,1503.25,58.97,3.62,44,35373,10.60%,23.53
20190604~20190626,【新】家装未浏览烟灶消,新标签人群,无线,京东直投,,,25433,205,0.81%,186.46,7.33,0.91,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,25278,385,1.52%,1422.02,56.26,3.69,38,30458,9.87%,21.42
