时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
20190604~20190626,【新】关注未购买0油烟机,新标签人群,无线,京东直投,,,593,4,0.67%,7.21,12.16,1.8,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,592,17,2.87%,133.19,224.98,7.83,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0品牌词,592,16,2.70%,65.03,109.85,4.06,2,1349,12.50%,20.74
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,587,2,0.34%,15.64,26.64,7.82,0,0,0,0
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,582,36,6.19%,141.75,243.56,3.94,5,3546,13.89%,25.02
20190604~20190626,【新】消毒柜加购未购,新标签人群,PC,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,581,2,0.34%,2.01,3.46,1,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,577,39,6.76%,187.25,324.52,4.8,6,4416,15.38%,23.58
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0品牌词,576,1,0.17%,2.88,5,2.88,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0无线,575,56,9.74%,294.02,511.34,5.25,3,2317,5.36%,7.88
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,575,5,0.87%,27.28,47.44,5.46,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索0长尾,574,35,6.10%,185.24,322.72,5.29,3,2198,8.57%,11.87
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0品牌词,568,134,23.59%,274.77,483.75,2.05,29,21726.55,21.64%,79.07
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,562,22,3.91%,166,295.37,7.55,0,0,0,0
20190604~20190626,【新】关注未购买0油烟机,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,560,26,4.64%,134.76,240.64,5.18,1,899,3.85%,6.67
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0PC,543,1,0.18%,7.83,14.42,7.83,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,534,58,10.86%,282.03,528.15,4.86,7,12994,12.07%,46.07
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0品牌词,530,93,17.55%,135.18,255.06,1.45,0,0,0,0
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0PC,522,6,1.15%,26.11,50.02,4.35,3,2198,50.00%,84.18
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,517,14,2.71%,109.65,212.09,7.83,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0无线,515,44,8.54%,254.11,493.42,5.78,4,3317,9.09%,13.05
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,513,37,7.21%,157.96,307.91,4.27,12,13589,32.43%,86.03
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0长尾,501,17,3.39%,80.88,161.44,4.76,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,500,13,2.60%,41.9,83.8,3.22,0,0,0,0
20190604~20190626,【新】再营销0消毒柜点击未购买,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,499,26,5.21%,160.3,321.24,6.17,1,899,3.85%,5.61
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,491,2,0.41%,7.09,14.44,3.55,0,0,0,0
20190604~20190626,【新】再营销0燃气灶点击未购买,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,490,22,4.49%,66.71,136.14,3.03,3,2577,13.64%,38.63
20190604~20190626,【新】消毒柜加购未购,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0PC,487,2,0.41%,3.56,7.31,1.78,1,899,50.00%,252.53
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),80K03_消毒柜_单投,搜索0无线,486,35,7.20%,121.56,250.12,3.47,8,3292,22.86%,27.08
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0长尾,484,4,0.83%,23.37,48.29,5.84,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0品牌词,477,14,2.94%,29.32,61.47,2.09,2,1028,14.29%,35.06
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,476,6,1.26%,30.63,64.35,5.11,0,0,0,0
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0长尾,475,3,0.63%,16.31,34.34,5.44,0,0,0,0
20190604~20190626,默认拉新人群,京选人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,458,29,6.33%,139.2,303.93,4.8,2,1699,6.90%,12.21
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,455,29,6.37%,115.4,253.63,3.98,4,3697,13.79%,32.04
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,453,49,10.82%,161.35,356.18,3.29,12,8123,24.49%,50.34
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,453,63,13.91%,267.58,590.68,4.25,5,6798,7.94%,25.41
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0品牌词,452,33,7.30%,88.92,196.73,2.69,3,2897,9.09%,32.58
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,450,4,0.89%,39.46,87.69,9.87,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,445,54,12.13%,259.41,582.94,4.8,7,12994,12.96%,50.09
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,444,31,6.98%,123.99,279.26,4,5,3546,16.13%,28.6
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,438,12,2.74%,82.27,187.83,6.86,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,431,21,4.87%,79.09,183.5,3.77,9,7612,42.86%,96.24
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0长尾,425,6,1.41%,48.15,113.29,8.03,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,424,27,6.37%,161.5,380.9,5.98,6,8296,22.22%,51.37
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,424,42,9.91%,236.08,556.79,5.62,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,无线,京东快车(搜索),80K03_消毒柜_单投,搜索0无线,422,21,4.98%,71.98,170.57,3.43,5,2075,23.81%,28.83
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,414,21,5.07%,114.53,276.64,5.45,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,414,15,3.62%,58.5,141.3,3.9,2,1399,13.33%,23.91
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,410,2,0.49%,7.09,17.29,3.55,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0长尾,406,2,0.49%,9.87,24.31,4.93,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0品牌词,399,2,0.50%,2.63,6.59,1.32,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0品牌词,397,36,9.07%,89.07,224.36,2.47,9,10456,25.00%,117.39
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,392,10,2.55%,33.55,85.59,3.36,1,2599,10.00%,77.47
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,京东快车(搜索),80K03_消毒柜_单投,搜索0无线,391,27,6.91%,91.32,233.55,3.38,8,3292,29.63%,36.05
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,384,42,10.94%,133.33,347.21,3.17,8,5545,19.05%,41.59
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,382,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】浏览店铺产品未购买消毒柜,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,380,41,10.79%,157.84,415.37,3.85,7,27536.5,17.07%,174.46
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,377,17,4.51%,103.29,273.98,6.08,5,4347,29.41%,42.09
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0长尾,374,46,12.30%,291.7,779.95,6.34,3,2799,6.52%,9.6
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0长尾,374,2,0.53%,11.56,30.91,5.78,2,4999,100.00%,432.44
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,374,16,4.28%,87.99,235.27,5.5,8,9924.44,50.00%,112.79
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,373,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0长尾,369,6,1.63%,23.58,63.9,3.93,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0PC,366,2,0.55%,13.49,36.86,6.75,0,0,0,0
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),XC60_消毒柜_单投,搜索0无线,365,17,4.66%,68.22,186.9,4.01,1,799,5.88%,11.71
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,364,6,1.65%,32.35,88.87,5.39,0,0,0,0
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),秒杀计划,美的（Midea）_燃气灶,363,5,1.38%,8.99,24.77,1.8,1,499,20.00%,55.51
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0长尾,362,2,0.55%,8.12,22.43,4.06,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0长尾词,362,17,4.70%,125.25,345.99,7.37,2,2599,11.76%,20.75
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0长尾,360,3,0.83%,16.31,45.31,5.44,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),秒杀计划,美的（Midea）_燃气灶,354,5,1.41%,8.99,25.4,1.8,1,499,20.00%,55.51
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0品牌词,349,4,1.15%,4.81,13.78,1.2,2,2799,50.00%,581.91
20190604~20190626,【新】消毒柜加购未购,新标签人群,PC,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,347,10,2.88%,28.91,83.31,2.89,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,344,14,4.07%,86.36,251.05,6.17,5,4347,35.71%,50.34
20190604~20190626,【新】浏览店铺产品未购买燃气灶,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,343,32,9.33%,120.43,351.11,3.76,1,0,3.13%,0
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,336,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】浏览店铺产品未购买消毒柜,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,335,40,11.94%,180.61,539.13,4.52,19,28926.3,47.50%,160.16
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,334,13,3.89%,75.36,225.63,5.8,8,9924.44,61.54%,131.69
20190604~20190626,【新】再营销0消毒柜点击未购买,新标签人群,无线,京东快车(搜索),90Q15_消毒柜_单投,搜索0无线,334,41,12.28%,174.64,522.87,4.26,5,4995,12.20%,28.6
20190604~20190626,【新】浏览店铺产品未购买油烟机,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,330,30,9.09%,110.29,334.21,3.68,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0长尾词,324,33,10.19%,181,558.64,5.48,6,4443.44,18.18%,24.55
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0品牌词,321,4,1.25%,4.81,14.98,1.2,2,2799,50.00%,581.91
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0长尾词,319,35,10.97%,240.98,755.42,6.89,9,7396,25.71%,30.69
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,309,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,308,2,0.65%,6.13,19.9,3.07,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0长尾,308,2,0.65%,11.39,36.98,5.7,0,0,0,0
20190604~20190626,【新】再营销0消毒柜点击未购买,新标签人群,无线,京东快车(搜索),XC60_消毒柜_单投,搜索0无线,306,29,9.48%,137.04,447.84,4.73,0,0,0,0
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,306,3,0.98%,14.21,46.44,4.74,0,0,0,0
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,305,8,2.62%,38.69,126.85,4.84,0,0,0,0
20190604~20190626,【新】618大促品牌聚效广告再营销人群,京选人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,303,13,4.29%,56.69,187.1,4.36,7,4675,53.85%,82.47
20190604~20190626,【新】浏览店铺产品未购买燃气灶,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,300,34,11.33%,153.23,510.77,4.51,3,4878,8.82%,31.83
20190604~20190626,【新】浏览店铺产品未购买油烟机,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,295,33,11.19%,151.68,514.17,4.6,3,4878,9.09%,32.16
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),80K03_消毒柜_单投,搜索0无线,294,21,7.14%,69.32,235.78,3.3,5,1995,23.81%,28.78
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0长尾,292,1,0.34%,3.09,10.58,3.09,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,291,20,6.87%,82.2,282.47,4.11,4,3046,20.00%,37.06
20190604~20190626,【新】烟灶消店铺浏览未购,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,288,28,9.72%,102.5,355.9,3.66,0,0,0,0
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,288,11,3.82%,61.22,212.57,5.57,8,9924.44,72.73%,162.11
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,286,3,1.05%,14.49,50.66,4.83,0,0,0,0
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),秒杀计划,美的（Midea）_油烟机,285,4,1.40%,5.48,19.23,1.37,0,0,0,0
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,284,11,3.87%,61.22,215.56,5.57,8,9924.44,72.73%,162.11
20190604~20190626,【新】烟灶消店铺浏览未购,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,275,32,11.64%,147.25,535.45,4.6,3,4878,9.38%,33.13
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,275,0,0,0,0,0,0,0,0,0
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),XC60_消毒柜_单投,搜索0PC,273,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】再营销0燃气灶点击未购买,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0品牌词,269,11,4.09%,26.78,99.55,2.43,1,549,9.09%,20.5
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0品牌词,258,21,8.14%,59.05,228.88,2.81,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,256,10,3.91%,57.75,225.59,5.78,0,0,0,0
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0品牌词,253,43,17.00%,71.2,281.42,1.66,2,2799,4.65%,39.31
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,252,1,0.40%,4.62,18.33,4.62,1,999,100.00%,216.23
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,251,6,2.39%,20.41,81.31,3.4,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,250,6,2.40%,18.51,74.04,3.09,0,0,0,0
20190604~20190626,【新】消毒柜加购未购,新标签人群,无线,京东快车(搜索),90Q15_消毒柜_单投,搜索0无线,250,14,5.60%,61.28,245.12,4.38,4,3696,28.57%,60.31
20190604~20190626,【新】再营销0燃气灶点击未购买,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0品牌词,248,43,17.34%,91.53,369.07,2.13,1,499,2.33%,5.45
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,247,3,1.21%,16.26,65.83,5.42,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,239,9,3.77%,51.83,216.86,5.76,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,235,12,5.11%,47.91,203.87,3.99,4,2497,33.33%,52.12
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0长尾词,233,2,0.86%,12.31,52.83,6.16,0,0,0,0
20190604~20190626,【新】关注未购买0油烟机,新标签人群,无线,京东直投,,,233,2,0.86%,1.9,8.15,0.95,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0长尾,233,2,0.86%,10.54,45.24,5.27,2,4999,100.00%,474.29
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,230,5,2.17%,23.56,102.43,4.71,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,229,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】爆品浏览未购买0烟灶套装,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,228,21,9.21%,80.73,354.08,3.84,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,223,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,218,5,2.29%,26.72,122.57,5.34,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,218,5,2.29%,22.29,102.25,4.46,0,0,0,0
20190604~20190626,【新】浏览店铺产品未购买燃气灶,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,216,2,0.93%,5.76,26.67,2.88,1,2198,50.00%,381.6
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),80K03_消毒柜_单投,搜索0无线,215,18,8.37%,64.4,299.53,3.58,6,2494,33.33%,38.73
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0品牌词,210,39,18.57%,62.88,299.43,1.61,2,2799,5.13%,44.51
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,209,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,208,9,4.33%,36.01,173.13,4,2,1098,22.22%,30.49
20190604~20190626,【新】浏览店铺产品未购买消毒柜,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,206,2,0.97%,5.76,27.96,2.88,3,5593.75,150.00%,971.14
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,205,12,5.85%,31.05,151.46,2.59,2,2999,16.67%,96.59
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,203,2,0.99%,11.62,57.24,5.81,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,202,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】618大促品牌聚效广告再营销人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_油烟机,200,21,10.50%,79.4,397,3.78,2,4178,9.52%,52.62
20190604~20190626,【新】爆品浏览未购买0烟灶套装,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,200,24,12.00%,112.58,562.9,4.69,2,2679,8.33%,23.8
20190604~20190626,【新】关注未购买0消毒柜,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,199,9,4.52%,41.22,207.14,4.58,0,0,0,0
20190604~20190626,【新】浏览店铺产品未购买油烟机,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,198,2,1.01%,5.76,29.09,2.88,1,2198,50.00%,381.6
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0PC,197,2,1.02%,7.56,38.38,3.78,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0长尾,195,12,6.15%,68.42,350.87,5.7,0,0,0,0
