时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),T36+Q39-T_烟灶套装_单投,搜索-核心词-无线,52651,4964,9.43%,47048.34,893.59,9.48,1342,5392956.29,27.03%,114.63,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,PC,京东快车(搜索),J58+Q39-T_烟灶套装_单投,搜索-PC,52410,770,1.47%,3859.28,73.64,5.01,95,147819.54,12.34%,38.30,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,52026,4431,8.52%,15871.96,305.08,3.58,480,454777.60,10.83%,28.65,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东快车(搜索),J30+Q216B-T_烟灶套装_单投,搜索-无线,51309,2301,4.48%,10284.87,200.45,4.47,186,140380.50,8.08%,13.65,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,51294,3437,6.70%,16696.36,325.50,4.86,266,265861.70,7.74%,15.92,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J18_油烟机_单投,搜索-PC,51033,423,0.83%,1744.85,34.19,4.12,46,66054.55,10.87%,37.86,
20190604~20190626,【新】消毒柜搜索未购-类目,新标签人群,PC,京东快车(搜索),80K03_消毒柜_单投,搜索-PC,50999,161,0.32%,576.60,11.31,3.58,22,11558.00,13.66%,20.05,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索-核心-无线,50533,2787,5.52%,15070.52,298.23,5.41,204,243022.70,7.32%,16.13,
20190604~20190626,【新】品类7天浏览未购-燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索-无线,50055,4569,9.13%,19175.17,383.08,4.20,350,282222.40,7.66%,14.72,
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,49584,4851,9.78%,20059.89,404.56,4.14,813,2042941.50,16.76%,101.84,
20190604~20190626,【新】竞品品牌浏览未购-燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索-无线,49399,3831,7.76%,13696.92,277.27,3.58,185,129624.50,4.83%,9.46,
20190604~20190626,【新】品牌浏览+品类未购-消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索-无线,48740,4696,9.63%,15541.85,318.87,3.31,544,507301.66,11.58%,32.64,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索-PC,48429,341,0.70%,1395.19,28.81,4.09,22,22229.00,6.45%,15.93,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B-T_烟灶套装_单投,搜索-PC,48425,1384,2.86%,5701.49,117.74,4.12,283,232612.00,20.45%,40.80,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索-PC,48409,336,0.69%,1418.69,29.31,4.22,24,24646.00,7.14%,17.37,
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索-无线,47655,8469,17.77%,25221.64,529.25,2.98,748,421481.12,8.83%,16.71,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索-核心-无线,47631,2979,6.25%,16420.22,344.74,5.51,226,267399.20,7.59%,16.28,
20190604~20190626,【新】消毒柜搜索未购-类目,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索-无线,47617,3751,7.88%,14731.96,309.38,3.93,251,272688.00,6.69%,18.51,
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索-核心-无线,47555,3325,6.99%,14990.51,315.22,4.51,240,215891.00,7.22%,14.40,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,无线,京东快车(搜索),T36+Q39-T_烟灶套装_单投,搜索-核心词-无线,47266,2428,5.14%,26478.13,560.19,10.91,121,132233.50,4.98%,4.99,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J58_油烟机_单投,搜索-核心-无线,46710,2645,5.66%,14503.23,310.50,5.48,272,321869.07,10.28%,22.19,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索-核心-无线,46582,2491,5.35%,13710.48,294.33,5.50,171,203500.00,6.86%,14.84,
20190604~20190626,【新】爆品浏览未购买-烟灶套装,新标签人群,无线,京东直投,,,46412,882,1.90%,642.71,13.85,0.73,38,64497.86,4.31%,100.35,
20190604~20190626,【新】美的品牌浏览未购-油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索-核心-无线,45425,3711,8.17%,16415.18,361.37,4.42,276,241973.50,7.44%,14.74,
20190604~20190626,【新】家装未浏览烟灶消,新标签人群,无线,京东直投,,,44842,124,0.28%,345.65,7.71,2.79,2,2199.00,1.61%,6.36,
20190604~20190626,【新】消毒柜搜索未购-类目,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,44330,1813,4.09%,8017.41,180.86,4.42,168,98283.00,9.27%,12.26,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,44192,1404,3.18%,6564.05,148.53,4.68,86,78670.00,6.13%,11.98,
20190604~20190626,【新】消毒柜搜索未购-关键词,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索-无线,43992,3385,7.69%,13194.59,299.93,3.90,223,250319.00,6.59%,18.97,
20190604~20190626,【新】燃气灶搜索未购-关键词,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索-无线,43822,3530,8.06%,15245.32,347.89,4.32,259,209467.10,7.34%,13.74,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东直投,,,43566,473,1.09%,421.36,9.67,0.89,4,3797.00,0.85%,9.01,
20190604~20190626,【新】品牌浏览+品类未购-燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索-无线,43514,4048,9.30%,16934.10,389.16,4.18,315,257335.90,7.78%,15.20,
20190604~20190626,【新】品牌浏览+品类未购-燃气灶,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索-PC,43476,672,1.55%,1849.26,42.54,2.75,95,63258.50,14.14%,34.21,
