user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
LittleSwan-Washer,洗衣机意向人群（三洋LG统帅博世创维）,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,25074,3169,12.64%,7638.45,304.64,2.41,1242,3589019,39.19%,469.86
LittleSwan-Washer,自定义-洗衣机top180SKU不扩展,标签人群,无线,京东快车(搜索),【B】TB100V60WD_小天鹅洗衣机_单投,TB100V60WD搜索无线,25042,1671,6.67%,4082.92,163.04,2.44,380,1160118.5,22.74%,284.14
LittleSwan-Washer,洗衣机品牌人群（统帅TCL海信志高威力）,标签人群,无线,京东直投,,,24876,2151,8.65%,877.64,35.28,0.41,-,-,-,-
LittleSwan-Washer,洗衣机竞品包1（海尔+统帅+三洋）,标签人群,无线,京东直投,,,24747,356,1.44%,180.36,7.29,0.51,3,6497,0.84%,36.02
LittleSwan-Washer,热水器意向人群（万和斯密斯能率）,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,24027,3164,13.17%,11980.92,498.64,3.79,527,1620427,16.66%,135.25
LittleSwan-Washer,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),搜索腰带店铺_小天鹅洗衣机_腰部广告,搜索腰带店铺,24020,1206,5.02%,2003.92,83.43,1.66,109,157828,9.04%,78.76
LittleSwan-Washer,自定义-LS+HR中高端波轮,标签人群,无线,京东快车(搜索),【A++】TB80V80WDCLG_小天鹅洗衣机_单投,搜索无线,24008,4909,20.45%,12918.17,538.08,2.63,866,1726038,17.64%,133.61
LittleSwan-Washer,冰箱核心人群（康佳TCL奥玛三星海信）,标签人群,无线,京东直投,,,23938,275,1.15%,111.72,4.67,0.41,-,-,-,-
LittleSwan-Washer,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【B】TB90V60WD_小天鹅洗衣机_单投,TB90V60WD搜索无线,23877,1688,7.07%,3208.77,134.39,1.9,281,415204,16.65%,129.4
LittleSwan-Washer,【新】近30天浏览加购热水器未购洗衣机,新标签人群,无线,品牌聚效,跨品类【618临时】,跨品类核心人群,23839,69,0.29%,1891.3,79.34,27.41,2,2899,2.90%,1.53
LittleSwan-Washer,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,23723,3792,15.98%,12310.78,518.94,3.25,715,1879212,18.86%,152.65
LittleSwan-Washer,洗衣机竞品包1（海尔+统帅+三洋）,标签人群,无线,京东快车(搜索),【A++】TB100V60_小天鹅洗衣机_单投,TB100V60搜索PC,23483,1624,6.92%,4397.11,187.25,2.71,450,894927.4,27.71%,203.53
LittleSwan-Washer,空调核心人群（格力美的海尔奥克斯TCL）,标签人群,无线,京东快车(搜索),【A++++】TG100V20WDG_小天鹅洗衣机_单投,搜索-无线,23264,3811,16.38%,11611.97,499.14,3.05,1851,4826372.42,48.57%,415.64
LittleSwan-Washer,电视核心人群（TCL创维索尼康佳暴风）,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,23259,2344,10.08%,9299.8,399.84,3.97,375,1146436,16.00%,123.28
LittleSwan-Washer,冰箱核心人群（康佳TCL奥玛三星海信）,标签人群,无线,京东直投,,,22809,130,0.57%,55.06,2.41,0.42,-,-,-,-
LittleSwan-Washer,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A++】TB100V60_小天鹅洗衣机_单投,TB100V60搜索PC,22482,1568,6.97%,4232.34,188.25,2.7,441,885736.4,28.13%,209.28
LittleSwan-Washer,【新】近30天浏览加购洗衣机未购洗衣机,新标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,22181,2896,13.06%,10576.98,476.85,3.65,431,905937.43,14.88%,85.65
LittleSwan-Washer,核心人群（美的+小天鹅）,标签人群,无线,京东直投,,,21877,256,1.17%,97.76,4.47,0.38,-,-,-,-
LittleSwan-Washer,【新】小天鹅美的品牌人群,新标签人群,无线,京东直投,,,21863,293,1.34%,279.53,12.79,0.95,17,48583,5.80%,173.8
LittleSwan-Washer,油烟机核心人群（老板方太美的海尔华帝）,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,21684,2363,10.90%,9545.35,440.2,4.04,371,1139649,15.70%,119.39
LittleSwan-Washer,美的冰箱已购用户,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,21460,2267,10.56%,9360.99,436.21,4.13,352,1060949,15.53%,113.34
LittleSwan-Washer,自定义-美的冰箱近3个月购买,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,21460,2267,10.56%,9360.99,436.21,4.13,352,1060949,15.53%,113.34
LittleSwan-Washer,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东直投,,,21396,532,2.49%,254.6,11.9,0.48,-,-,-,-
LittleSwan-Washer,自定义-热水器top178不扩展半年已购,标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,21174,2235,10.56%,8207.78,387.63,3.67,713,2222740,31.90%,270.81
LittleSwan-Washer,九数_618_滚筒_类目内_高分段_美的品牌倾向_0608,外部导入人群,无线,京东直投,,,21134,422,2.00%,262.16,12.4,0.62,1,2399,0.24%,9.15
