user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,684,24,3.51%,50.35,73.61,2.1,-,-,-,-
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,644,5,0.78%,18.43,28.62,3.69,-,-,-,-
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,638,78,12.23%,403.49,632.43,5.17,11,31789,14.10%,78.79
美的厨房电器1,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,606,52,8.58%,196.51,324.27,3.78,9,23921,17.31%,121.73
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,537,37,6.89%,264,491.62,7.14,2,2798,5.41%,10.6
美的厨房电器1,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,534,1,0.19%,2.05,3.84,2.05,-,-,-,-
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,532,10,1.88%,47.12,88.57,4.71,2,6198,20.00%,131.54
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,529,1,0.19%,9.86,18.64,9.86,-,-,-,-
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,475,16,3.37%,73.18,154.06,4.57,3,7397,18.75%,101.08
美的厨房电器1,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,452,51,11.28%,209.97,464.54,4.12,-,-,-,-
美的厨房电器1,618大促类目购买意向人群【洗碗机】,标签人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,446,14,3.14%,8.29,18.59,0.59,-,-,-,-
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,431,5,1.16%,18.43,42.76,3.69,-,-,-,-
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,412,38,9.22%,219.97,533.91,5.79,4,7296,10.53%,33.17
美的厨房电器1,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,392,52,13.27%,192.29,490.54,3.7,4,12496,7.69%,64.99
美的厨房电器1,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,389,39,10.03%,148.91,382.8,3.82,5,12494,12.82%,83.9
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,360,9,2.50%,47.16,131,5.24,2,6198,22.22%,131.42
美的厨房电器1,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,351,15,4.27%,56.27,160.31,3.75,-,-,-,-
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,342,2,0.58%,17.76,51.93,8.88,-,-,-,-
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,341,3,0.88%,19.57,57.39,6.52,5,9695,166.67%,495.4
美的厨房电器1,【新】618大促高潜人群,京选人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,333,18,5.41%,6.64,19.94,0.37,-,-,-,-
美的厨房电器1,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,327,20,6.12%,103.87,317.65,5.19,4,11094,20.00%,106.81
美的厨房电器1,【新】持【家用电器】类优惠券的用户,京选人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,294,4,1.36%,6.11,20.78,1.53,-,-,-,-
美的厨房电器1,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,280,-,-,-,-,-,-,-,-,-
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,274,25,9.12%,102.74,374.96,4.11,1,1999,4.00%,19.46
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,253,-,-,-,-,-,-,-,-,-
美的厨房电器1,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,250,-,-,-,-,-,-,-,-,-
美的厨房电器1,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,225,6,2.67%,19.97,88.76,3.33,-,-,-,-
美的厨房电器1,【新】618大促品牌聚效广告再营销人群,京选人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,204,9,4.41%,19.18,94.02,2.13,-,-,-,-
美的厨房电器1,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,202,21,10.40%,118.68,587.52,5.65,-,-,-,-
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,202,-,-,3.65,18.07,-,-,-,-,-
美的厨房电器1,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,196,13,6.63%,59.67,304.44,4.59,1,2899,7.69%,48.58
美的厨房电器1,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,185,2,1.08%,2.72,14.7,1.36,-,-,-,-
美的厨房电器1,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,184,-,-,-,-,-,-,-,-,-
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,156,10,6.41%,65.11,417.37,6.51,-,-,-,-
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,156,-,-,-,-,-,-,-,-,-
